handle	name	specialty	github	github_followers	github_company	huggingface	scholar_id	sem_scholar_id	sem_scholar_h_index	sem_scholar_citations	dblp_pid	affiliation	website	avatar	bio	hackernews	arxiv_author
robrombach	Robin Rombach	diffusion					ygdQhrIAAAAJ	1660819540	22	41658	263/9785			https://pbs.twimg.com/profile_images/1988205471673503744/F1MSW25r.jpg			Robin Rombach
bodonoghue85	Brendan O'Donoghue	RL / diffusion	bodono	184			0Pzjj-cAAAAJ	1389654226	26	7966	116/3587		http://bodono.github.io	https://avatars.githubusercontent.com/u/555071?v=4			Brendan O'Donoghue
lvdmaaten	Laurens van der Maaten	representation learning	lvdmaaten	1978			6GDfcqEAAAAJ				53/2650		http://lvdmaaten.github.io	https://avatars.githubusercontent.com/u/1168046?v=4			Laurens van der Maaten
hugo_larochelle	Hugo Larochelle	deep learning					U89FHq4AAAAJ				86/3862			https://pbs.twimg.com/profile_images/1962856110106288128/2nOBCybB.jpg			Hugo Larochelle
marksaroufim	Mark Saroufim	ML systems	msaroufim	1030	@coreautom, @PyTorch and @gpu-mode	marksaroufim		2065584985	5	1215	118/5750	coreautom, @PyTorch and @gpu-mode	https://marksaroufim.com	https://avatars.githubusercontent.com/u/3282513?v=4	CUDA uninЇsțållåțîön fāīłüřęđ. Płēȃšę čøñțàçț șūppørt før åššīštåñćē		Mark Saroufim
shanelegg	Shane Legg	AGI / RL						34313265	32	44865	36/5739			https://pbs.twimg.com/profile_images/1985344651583234049/-wzq2e0u.jpg			Shane Legg
sarahookr	Sara Hooker	efficiency / multilingual				sarahooker	2xy6h3sAAAAJ				210/2611			https://cdn-avatars.huggingface.co/v1/production/uploads/63434eb76f59b79da07dbddf/BEwmVjqPNYlqmutXG0G6e.jpeg			Sara Hooker
richardssutton	Richard Sutton	RL					6m4wv6gAAAAJ				48/6070			https://pbs.twimg.com/profile_images/1797759934811254786/XsJes4Sk.jpg			Richard Sutton
mmbronstein	Michael Bronstein	graph learning					tIvFLl0AAAAJ				419/4721			https://pbs.twimg.com/profile_images/2009293684295258114/oQPVNwpc.jpg			Michael Bronstein
model_mechanic	Aditya Ramesh	generative models	adityaramesh	227			60K82BkAAAAJ				58/10355		adityaramesh.com	https://avatars.githubusercontent.com/u/1999682?v=4			Aditya Ramesh
shengjia_zhao	Shengjia Zhao	LLM training	ShengjiaZhao	371			bMoauM4AAAAJ				173/5122			https://avatars.githubusercontent.com/u/13686847?v=4	OpenAI		Shengjia Zhao
chhillee	Horace He	ML systems	Chillee	1272		chhillee	exzHWOwAAAAJ				230/4428		http://horace.io/	https://avatars.githubusercontent.com/u/6355099?v=4	"PyTorch Intern 2019

Compilers intern 2018 @google

Maintainer of @VSCodeVim

Cornell CS/Math 2020"		Horace He
matei_zaharia	Matei Zaharia	ML systems	mateiz	2089	Databricks Inc.		I1EvjZsAAAAJ	143834867	76	71246	36/2133	Databricks Inc.	databricks.com	https://avatars.githubusercontent.com/u/228859?v=4			Matei Zaharia
shakir_za	Shakir Mohamed	generative models					cIlDEugAAAAJ				03/6063			https://pbs.twimg.com/profile_images/1541883339136720903/reQazvhR.jpg			Shakir Mohamed
tydsh	Yuandong Tian	RL / reasoning	yuandong-tian	1700	Facebook	tydsh	0mgEF28AAAAJ				t/YuandongTian	Facebook	yuandong-tian.com	https://avatars.githubusercontent.com/u/2973937?v=4	Co-founder in a stealth startup		Yuandong Tian
suchenzang	Susan Zhang	LLM training	suchenzang	465		suchenzang	HbChXx0AAAAJ	150311889	3	25	151/3321		https://suchenzang.github.io/	https://avatars.githubusercontent.com/u/4930580?v=4			Susan Zhang
charliermarsh	Charlie Marsh	Python tooling	charliermarsh	6482	@openai			117392107	3	47		openai	https://crmarsh.com	https://avatars.githubusercontent.com/u/1309177?v=4	"@OpenAI. Building Ruff, uv, ty, and other high-performance Python tools with the
@astral-sh team."	charliermarsh	Charlie Marsh
davidduvenaud	David Duvenaud	generative models	duvenaud	881	University of Toronto			1704657	55	31676	86/9380	University of Toronto	http://www.cs.toronto.edu/~duvenaud/	https://avatars.githubusercontent.com/u/2690917?v=4			David Duvenaud
danilojrezende	Danilo J. Rezende	generative models	DaniloRezende	20			rvW4j38AAAAJ				31/11107			https://avatars.githubusercontent.com/u/1136203?v=4			Danilo J. Rezende
zicokolter	Zico Kolter	robustness / safety									67/2526			https://pbs.twimg.com/profile_images/1821507829406007297/IIrL9ky5.jpg			Zico Kolter
pathak2206	Deepak Pathak	robotics / CV					AEsPCAUAAAAJ				155/9860			https://pbs.twimg.com/profile_images/1852752474328944640/9wREZF9n.jpg			Deepak Pathak
dimitrispapail	Dimitris Papailiopoulos	LLM theory	anadim	50		anadim	hYi6i9sAAAAJ				77/344		papail.io	https://avatars.githubusercontent.com/u/9118277?v=4	Greek islander in exile. I roast my own coffee. Host too many dinner parties. Wrote 130 poems once and got it out of my system. Part sloth, part dolphin.		Dimitris Papailiopoulos
jack_w_rae	Jack Rae	LLM training					uevMVaQAAAAJ	34269227	24	14731				https://pbs.twimg.com/profile_images/1876144178809458688/YHobJbCS.jpg			Jack Rae
johnplattml	John Platt	ML / science					_TAtLSgAAAAJ				162/1869			https://pbs.twimg.com/profile_images/568845930565074944/E3ZEszjS.jpeg			John Platt
francis_yao_	Yao Fu	LLM reasoning	FranxYao	1235		yaofu	07_GV5oAAAAJ	2145104264	4	131	128/4692		yaofu.notion.site	https://avatars.githubusercontent.com/u/17723677?v=4	Know me through my code		Yao Fu
maithra_raghu	Maithra Raghu	representation analysis	maithraraghu	127	Samaya AI		xdwK2NsAAAAJ	40297238	19	7880	163/6374	Samaya AI	http://maithraraghu.com/	https://avatars.githubusercontent.com/u/8743653?v=4	Cofounder and CEO at Samaya AI		Maithra Raghu
tqchenml	Tianqi Chen	ML systems	tqchen	12602	CMU, NVIDIA	tqchen					94/8023	CMU, NVIDIA	https://tqchen.com/	https://avatars.githubusercontent.com/u/2577440?v=4	Machine Learning and Systems		Tianqi Chen
jhyuxm	Jiahui Yu	multimodal				jiahuiyu	-CLCMk4AAAAJ				185/1060			/avatars/4989bcdda7ba1ae51cab8235c3e39275.svg			Jiahui Yu
earnmyturns	Fernando Pereira	NLP					qWDmIgIAAAAJ				95/3955			https://pbs.twimg.com/profile_images/1134921206/inChillan.jpg			Fernando Pereira
blancheminerva	Stella Biderman	open LLMs	stellaathena	570	Booz Allen Hamilton, EleutherAI		bO7H0DAAAAAJ				239/5641	Booz Allen Hamilton, EleutherAI	www.stellabiderman.com	https://avatars.githubusercontent.com/u/15899312?v=4	Democratizing language models and understanding how they work		Stella Biderman
luke_metz	Luke Metz	meta-learning					k_u5ULgAAAAJ				172/1332			https://pbs.twimg.com/profile_images/662047273178677248/Ged2v_Z5.png			Luke Metz
syhw	Gabriel Synnaeve	code generation									65/8774			https://pbs.twimg.com/profile_images/559705507355561985/9aR-b1Gq.jpeg			Gabriel Synnaeve
jekbradbury	James Bradbury	ML systems	jekbradbury	465	Google	jekbradbury	GprA5UsAAAAJ				247/9633	Google		https://avatars.githubusercontent.com/u/11729078?v=4			James Bradbury
douwekiela	Douwe Kiela	RAG	douwekiela	31		douwekiela	Q0piorUAAAAJ				136/9140			https://avatars.githubusercontent.com/u/6024930?v=4			Douwe Kiela
