handle	name	specialty	github	github_followers	github_company	huggingface	scholar_id	sem_scholar_id	sem_scholar_h_index	sem_scholar_citations	dblp_pid	affiliation	website	avatar	bio	hackernews	arxiv_author
ellev3n11	Federico Cassano	code generation				cassanof	n8tK15oAAAAJ	2197063831	10	4588	326/8944			https://cdn-avatars.huggingface.co/v1/production/uploads/642ca13cc3684e5a4e806661/ELhdKsK429zi4wZkVkx9Y.jpeg			Federico Cassano
phillip_lippe	Phillip Lippe	RL / multimodal					69hFZp4AAAAJ	2350751902	4	2830	267/9431			https://pbs.twimg.com/profile_images/1865357792070025216/9N-0DOMU.jpg			Phillip Lippe
brhydon	Brydon Eastman	LLM training					a1AbiGkAAAAJ				336/3485			https://pbs.twimg.com/profile_images/1962651267148443648/R5iujYmK.jpg			Brydon Eastman
stuart_sul	Stuart Sul	ML systems					F5WuVYwAAAAJ				423/5524			https://pbs.twimg.com/profile_images/1835392777217273856/Tw-5ylX_.jpg			Stuart Sul
mucai7	Mu Cai	multimodal				mucai	euruCPEAAAAJ				279/6529			https://cdn-avatars.huggingface.co/v1/production/uploads/63b7b2c6bd2d153522821766/aHtga-_OUdOrg_TRrXO08.jpeg			Mu Cai
xingyousong	Richard Song	AutoML					GnpHmO8AAAAJ				384/0488			https://pbs.twimg.com/profile_images/1747738071171239936/3q0b3SOM.jpg			Richard Song
robertriachi	Robert Riachi	generative models				robertriachi								/avatars/fce1d5b43438ef0490ab67f8c373f609.svg
m_finzi	Marc Finzi	generative models					ysMAhlwAAAAJ				222/3062			https://pbs.twimg.com/profile_images/1876456871483080704/o-aAzv_t.jpg			Marc Finzi
em_dinan	Emily Dinan	dialogue / safety					pfqzHqUAAAAJ	31461304	26	24049	213/7927			https://pbs.twimg.com/profile_images/1167082895036620800/p0FebjWq.jpg			Emily Dinan
ebetica	Zeming Lin	protein models				ebetica	ZDjmMuwAAAAJ				170/6719			/avatars/b1858ee2c6399f41cc1acbea16a48d7f.svg			Zeming Lin
b_roziere	Baptiste Rozière	code generation					6vht2iwAAAAJ				178/8263			https://pbs.twimg.com/profile_images/1203983049052098566/5uhRBHps.jpg			Baptiste Rozière
williambarrheld	Will Held	LLM training				WillHeld	SP9VJNkAAAAJ	46552910	14	1165	245/8601	Georgia Tech	williamheld.com	https://cdn-avatars.huggingface.co/v1/production/uploads/1666207676653-632116accafe12f481a473cb.jpeg			Will Held
rom1504	Romain Beaumont	multimodal data				rom1504	jhtyYGAAAAAJ	2125377840	4	8948	161/0995			/avatars/cfed2197ec8d538e9ebb0977b21b7aa4.svg		rom1504	Romain Beaumont
yizhezhangnlp	Yizhe Zhang	text diffusion				yizhezhang	aceABmIAAAAJ				59/2147-1			https://cdn-avatars.huggingface.co/v1/production/uploads/5dd96eb166059660ed1ee413/96-oNO2OLVkAFOojMaV0T.jpeg			Yizhe Zhang
nathanhabib1011	Nathan Habib	evaluation				SaylorTwift	5bIDobkAAAAJ	117971740	2	39	359/5534			https://cdn-avatars.huggingface.co/v1/production/uploads/1678663263366-63e0eea7af523c37e5a77966.jpeg			Nathan Habib
lisabdunlap	Lisa Dunlap	evaluation				lisabdunlap	Vy16O5UAAAAJ				245/1549			/avatars/786bc609e6305730f0f2025ae5c27f82.svg			Lisa Dunlap
jonas_eschmann	Jonas Eschmann	RL / robotics					xrfxLAIAAAAJ	80109565	5	221	260/0776			https://pbs.twimg.com/profile_images/1731527754275778560/fEM_0Sj0.jpg			Jonas Eschmann
alfcnz	Alfredo Canziani	deep learning education					dU5bJOMAAAAJ				161/4547			https://pbs.twimg.com/profile_images/2021279427330723840/pSxguGfe.jpg			Alfredo Canziani
pmddomingos	Pedro Domingos	ML theory					KOrhfVMAAAAJ	1740213	84	40977	423/6424			https://pbs.twimg.com/profile_images/1775309922621890560/mgkCUe3q.jpg			Pedro Domingos
docmilanfar	Peyman Milanfar	computational imaging					iGzDl8IAAAAJ				48/6882			https://pbs.twimg.com/profile_images/2010591845315678208/2MmbZDwx.jpg			Peyman Milanfar
yimatweets	Yi Ma	representation learning					XqLiBQMAAAAJ	153000305	3	52	22/7938			https://pbs.twimg.com/profile_images/1553978259607412736/Dwv46Fqq.jpg			Yi Ma
gabrielpeyre	Gabriel Peyré	computational math / optimal transport					KqA1dYcAAAAJ	2075301028	3	56	65/1759			https://pbs.twimg.com/profile_images/769278856670969856/lh39fbWj.jpg			Gabriel Peyré
srush_nlp	Sasha Rush	NLP / LLMs				srush								https://cdn-avatars.huggingface.co/v1/production/uploads/5dd96eb166059660ed1ee413/J21QWWtFOKqhJTF5qIMlD.jpeg
csprofkgd	Kosta Derpanis	computer vision				csprofkgd	3Br8x_gAAAAJ							/avatars/aa472df8a92ebd311ce2f480896d26ae.svg			Kosta Derpanis
thegautamkamath	Gautam Kamath	differential privacy					MK6zHkYAAAAJ	2349829952	3	72	73/11140			https://pbs.twimg.com/profile_images/1702778756195053568/G7kQIlvx.jpg			Gautam Kamath
_luofuli	Fuli Luo	LLM training				luofuli	1s79Z5cAAAAJ	17866105	18	1175	220/4216			https://cdn-avatars.huggingface.co/v1/production/uploads/6538815d1bdb3c40db94fbfa/id7aSY8JUgKK2agKWLERt.jpeg			Fuli Luo
zizhpan	Zizheng Pan	efficiency / vision				zizhpan	w_VMopoAAAAJ				271/4555			/avatars/e39f25cd7190d282478cdac20a7700ee.svg			Zizheng Pan
kordinglab	Konrad Kording	computational neuroscience					MiFqJGcAAAAJ	150174214	12	839	93/2724			https://pbs.twimg.com/profile_images/1167153186898972673/C-5SttwO.png			Konrad Kording
fhuszar	Ferenc Huszár	generative models				fhuszar	koQCVT4AAAAJ	3108066	20	22214	78/10549			https://cdn-avatars.huggingface.co/v1/production/uploads/1660308001193-noauth.jpeg			Ferenc Huszár
tengyuma	Tengyu Ma	ML theory				tengyuma	VeTSl0wAAAAJ				397/5154			/avatars/4c2f726b1edd442b4ece97d8644dfd2b.svg			Tengyu Ma
burkov	Andriy Burkov	ML education					TDB-O3AAAAAJ	145466078	7	544	15/4164			https://pbs.twimg.com/profile_images/1906075596808998913/6xpSGRnv.jpg			Andriy Burkov
